,Wavelength(nm),B-Field(G),B-Field Orientation,Events(MeV),Raw Events(MeV),Power Drop,Power Drop Err,Asym Diff,Asym Diff Err,Loff A,Loff A Err,Loff B,Loff B Err,Loff g,Loff g Err,QWP Pos
96329,1051,2750,LF,548.8,617.3,0.242819913019691,0.000566244824,-0.002164005309547,-0.00103114352934,0.047470754243158,0.006463116774247,0.132956905271229,0.00636951573142,0.057994443015623,0.003507903583592,0
96343,1054,2750,LF,532,597.8,0.241257038315402,0.000575229798223,-0.006121215370999,-0.001045840717462,0.040467681963098,0.007031637622271,0.139857010536863,0.0069364438986,0.055935467638741,0.003474696111779,0
96362,1048,2750,LF,548.3,616.1,0.238347600868385,0.00056842074097,-0.002746545756243,-0.001029815055014,0.04537048613456,0.006256737048049,0.13435093500575,0.00616767515244,0.057431146242934,0.003322019832415,0
96383,1060,2750,LF,553.5,621.9,0.219518072489811,0.000557818872674,-0.002276926377904,-0.000988826975447,0.04366942116415,0.006535828943444,0.138041780011758,0.006445925136851,0.056425189828116,0.003306202400662,0
96397,1052.5,2750,LF,548.2,616,0.241726654314852,0.000559620842428,-0.002725272248505,-0.001017851428208,0.049367330410217,0.006187019688134,0.132861677842406,0.006093797595023,0.059234545083924,0.003446933389943,0
96411,1055.5,2750,LF,547.3,615,0.240394080874945,0.000561752448404,-0.001303109786883,-0.001020184856124,0.049783483262414,0.006233295231197,0.131942916763718,0.006140109938853,0.058963141998176,0.003477981874351,0
96430,1049.5,2750,LF,547.8,615.5,0.225320976425373,0.000565726063491,-0.001626750630218,-0.001009775202582,0.047015400948212,0.00608721438844,0.134095020454257,0.005994097605462,0.059678622027963,0.003390992253456,0
96445,1017.4,2750,LF,548.4,616.3,0.23915857805733,0.000564464521204,-0.001797854353474,-0.001023178031451,0.049431445016966,0.005585931038981,0.132094783872496,0.005495858744869,0.061366432851506,0.003267215252055,0
96458,1028.34,2750,LF,548.4,616.1,0.238967185362804,0.000565336382537,-0.002197307553387,-0.001024727416292,0.054587177259057,0.005157170832808,0.126771370077803,0.005067452760552,0.06400998014496,0.003307086130445,0
96478,1034.7,2750,LF,562.2,631.7,0.233016511650212,0.000558252843521,-0.000406539280437,-0.001004870219298,0.041540249544884,0.006609558672594,0.13944005372583,0.006521110354978,0.055605524962605,0.003252743038522,0
96495,1041.4,2750,LF,547.8,615.6,0.236473378827057,0.000565442701898,-0.003570546696117,-0.001022356274298,0.052381888134601,0.005401222079906,0.128868056996182,0.005313252036356,0.061731940017845,0.003261312862509,0
96511,1054,2750,LF,560.6,630.1,0.240112577131064,0.000559898914124,0.002321069200852,0.001016373862717,0.043207722328571,0.006191450012766,0.13784115268271,0.006103551724928,0.057409834707753,0.003201946522424,1
96527,1051,2750,LF,549.5,617.6,0.237618816823772,0.000566323621292,0.001471484987787,0.001025109286469,0.046251720544195,0.006339712395353,0.134700361457437,0.006242589360332,0.059715451874132,0.003518610025058,1
96542,1052.5,2750,LF,547.7,615.6,0.244512520983937,0.000568623604351,0.000814461223525,0.001037046196004,0.040332947085349,0.006708765501299,0.14035433382396,0.006616746854958,0.056336281936233,0.003331466970757,1
96555,1054,2750,LF,566.9,637.1,0.364571308361979,0.000567323997404,0.002186224398397,0.001202031998419,0.044259836817723,0.006205037726358,0.136171274534581,0.006113091538548,0.058711272828355,0.003337210419927,1
96569,1054,2750,LF,559.9,629.2,0.305145230649824,0.000566410759995,0.000600979579594,0.00111147078101,0.040537201841243,0.007177806795859,0.139509962458787,0.007082036818646,0.055462462502833,0.00352055407679,1
96587,1059.9,2750,LF,549.2,617.1,0.223048495646868,0.000567372541166,0.000846159735857,0.001010480430765,0.03613640772834,0.007462795439423,0.1443027167774,0.007368334142001,0.054026455634994,0.003428555118211,1
96605,1034.7,2750,LF,549.1,617.2,0.25474212499475,0.000569015868842,-0.0003906909858,-0.001050752683095,0.036798424755673,0.007128109533061,0.143863681627273,0.00703354068398,0.055349871823217,0.003381391896381,1
96624,1049.5,2750,LF,382.5,429.8,0.242015429987232,0.000683104418764,-9.3908764382218E-05,-0.001243364117745,0.043934999913612,0.007208906780835,0.13626003189795,0.007099278096561,0.059496916348875,0.003937613842495,1
96635,1041.4,2750,LF,336.1,378,0.243250870213375,0.000730378254936,-0.002355882034343,-0.001331071345886,0.034350911313226,0.008977287956541,0.145102131134326,0.008863760710132,0.053933131254439,0.004094393870205,1
